feature,importance
HTTPS,0.3264
AnchorURL,0.2421
WebsiteTraffic,0.0734
SubDomains,0.0639
PrefixSuffix-,0.0439
LinksInScriptTags,0.0421
ServerFormHandler,0.0223
RequestURL,0.0194
LinksPointingToPage,0.0185
DomainRegLen,0.0173
AgeofDomain,0.0158
UsingIP,0.0126
